[3342116785.3354764, 5362321.4299889496, 7565380.2837201236, 6132428.5208963314]
[334211715941.56384, 536267689.15803319, 756570599.27863526, 613277075.15909719]
[334211715941.56384, 536267689.15803319, 756570599.27863526, 613277075.15909719]
[334211715941.56384, 536267689.15803319, 756570599.27863526, 613277075.15909719]
[334211715941.56384, 536267689.15803319, 756570599.27863526, 613277075.15909719]
[334211715941.56384, 536267689.15803319, 756570599.27863526, 613277075.15909719]
[334211715941.56384, 536267689.15803319, 756570599.27863526, 613277075.15909719]
[334211715941.56384, 536267689.15803319, 756570599.27863526, 613277075.15909719]
[334211715941.56384, 536267689.15803319, 756570599.27863526, 613277075.15909719]
[334211715941.56384, 536267689.15803319, 756570599.27863526, 613277075.15909719]
[410625959199.81238, 1556885137.9000525, 724532365.09251559, 639440137.08048916]
[32250089181.910076, 1106623657.8126428, 1019226844.4834095, 1950484720.9853332]
[1390541386.9417109, 1205314539.8110774, 1305868785.6880276, 1673649472.0440154]
[1240542603.8254352, 934081065.57088697, 1835632209.331676, 1516176130.9943717]
